ID	EMT-index	EMT_class
TCGA-10-0928-01A	12.17603198	EMT_high
TCGA-24-1560-01A	12.10417619	EMT_high
TCGA-13-1404-01A	12.08314854	EMT_high
TCGA-13-0886-01A	12.06833045	EMT_high
TCGA-59-2355-01A	12.05938361	EMT_high
TCGA-29-1762-01A	12.05062402	EMT_high
TCGA-23-1123-01A	12.03192544	EMT_high
TCGA-24-1604-01A	11.99962472	EMT_high
TCGA-13-1487-01A	11.9989281	EMT_high
TCGA-13-0906-01A	11.97513451	EMT_low
TCGA-29-1783-01A	11.96678107	EMT_low
TCGA-25-2409-01A	11.9235807	EMT_low
TCGA-59-2348-01A	11.90262345	EMT_low
TCGA-30-1860-01A	11.88244599	EMT_low
TCGA-29-1697-01A	11.87657035	EMT_low
TCGA-24-1416-01A	11.85819142	EMT_low
TCGA-29-2414-01A	11.85764593	EMT_low
TCGA-23-1030-01A	11.83303363	EMT_low
TCGA-WR-A838-01A	11.83155694	EMT_low
TCGA-24-1930-01A	11.80350132	EMT_low
TCGA-61-2000-01A	11.79247949	EMT_low
TCGA-25-2400-01A	11.75703789	EMT_low
TCGA-09-1662-01A	11.724961	EMT_low
TCGA-24-2297-01A	11.69916843	EMT_low
TCGA-24-2267-01A	11.66321232	EMT_low
TCGA-31-1944-01A	11.56905534	EMT_low
TCGA-13-A5FT-01A	11.56764995	EMT_low
TCGA-13-0893-01B	11.55161193	EMT_low
TCGA-13-1497-01A	11.53028992	EMT_low
TCGA-59-2351-01A	11.5123944	EMT_low
TCGA-09-0364-01A	11.48895854	EMT_low
TCGA-24-2290-01A	11.41733269	EMT_low
TCGA-09-2044-01B	11.38440144	EMT_low
TCGA-24-1553-01A	11.35695831	EMT_low
TCGA-24-0982-01A	11.28926716	EMT_low
TCGA-25-1319-01A	11.28296823	EMT_low
TCGA-25-2392-01A	11.25561001	EMT_low
TCGA-23-1027-01A	11.23819896	EMT_low
TCGA-24-2026-01A	11.18978956	EMT_low
TCGA-04-1365-01A	11.1798486	EMT_low
TCGA-61-2012-01A	11.17940836	EMT_low
TCGA-29-1768-01A	11.17021475	EMT_low
TCGA-61-1918-01A	11.13082674	EMT_low
TCGA-29-1701-01A	11.11209321	EMT_low
TCGA-13-0800-01A	11.0610041	EMT_low
TCGA-20-1687-01A	11.02671578	EMT_low
TCGA-13-0725-01A	11.02470178	EMT_low
TCGA-13-1489-02A	10.93110624	EMT_low
TCGA-13-1507-01A	10.86181057	EMT_low
TCGA-30-1892-01A	10.86180915	EMT_low
TCGA-23-1118-01A	10.85853262	EMT_low
TCGA-24-1430-01A	10.81692147	EMT_low
TCGA-13-1509-01A	10.79336732	EMT_low
TCGA-24-1469-01A	10.79231157	EMT_low
TCGA-24-1924-01A	10.77435011	EMT_low
TCGA-13-0901-01B	10.75013614	EMT_low
TCGA-29-1778-01A	10.74182617	EMT_low
TCGA-24-1842-01A	10.72207919	EMT_low
TCGA-13-0916-01A	10.72050558	EMT_low
TCGA-23-1026-01B	10.7123987	EMT_low
TCGA-13-2060-01A	10.70593897	EMT_low
TCGA-13-1495-01A	10.70270738	EMT_low
TCGA-25-2396-01A	10.69793413	EMT_low
TCGA-13-0887-01A	10.68712578	EMT_low
TCGA-04-1343-01A	10.61129447	EMT_low
TCGA-24-1844-01A	10.60811554	EMT_low
TCGA-04-1648-01A	10.54574554	EMT_low
TCGA-24-1603-01A	10.54370342	EMT_low
TCGA-04-1361-01A	10.53263188	EMT_low
TCGA-04-1356-01A	10.52626197	EMT_low
TCGA-04-1651-01A	10.46669191	EMT_low
TCGA-09-2045-01A	10.44739576	EMT_low
TCGA-13-1506-01A	10.41860424	EMT_low
TCGA-13-0888-01A	10.40608129	EMT_low
TCGA-61-2008-02A	10.34260656	EMT_low
TCGA-24-1544-01A	10.32528046	EMT_low
TCGA-13-1510-01A	10.31829953	EMT_low
TCGA-24-1413-01A	10.31474856	EMT_low
TCGA-24-1552-01A	10.31230635	EMT_low
TCGA-24-0979-01A	10.30332467	EMT_low
TCGA-13-1488-01A	10.29941447	EMT_low
TCGA-57-1584-01A	10.29234378	EMT_low
TCGA-29-1769-01A	10.22655951	EMT_low
TCGA-24-1557-01A	10.2145336	EMT_low
TCGA-23-2077-01A	10.19595875	EMT_low
TCGA-36-1571-01A	10.19563397	EMT_low
TCGA-13-0727-01A	10.17380224	EMT_low
TCGA-29-1693-01A	10.17221919	EMT_low
TCGA-13-1498-01A	10.16929477	EMT_low
TCGA-36-1570-01A	10.15207035	EMT_low
TCGA-04-1364-01A	10.01742809	EMT_low
TCGA-09-2053-01C	10.00038888	EMT_low
TCGA-61-2109-01A	9.926788626	EMT_low
TCGA-09-1670-01A	9.916207531	EMT_low
TCGA-13-0905-01B	9.914753614	EMT_low
TCGA-29-1688-01A	9.90465263	EMT_low
TCGA-24-1551-01A	9.878709103	EMT_low
TCGA-13-1501-01A	9.863049039	EMT_low
TCGA-29-1777-01A	9.855921103	EMT_low
TCGA-24-2020-01A	9.849547986	EMT_low
TCGA-24-1103-01A	9.825460957	EMT_low
TCGA-13-1512-01A	9.820165758	EMT_low
TCGA-09-1666-01A	9.819119736	EMT_low
TCGA-25-1321-01A	9.802870701	EMT_low
TCGA-24-1105-01A	9.733635884	EMT_low
TCGA-VG-A8LO-01A	9.729718247	EMT_low
TCGA-24-1616-01A	9.709678655	EMT_low
TCGA-04-1655-01A	9.706342636	EMT_low
TCGA-24-2023-01A	9.683001604	EMT_low
TCGA-13-0766-01A	9.673269495	EMT_low
TCGA-23-1119-01A	9.591826895	EMT_low
TCGA-24-1467-01A	9.568329317	EMT_low
TCGA-29-2425-01A	9.515624543	EMT_low
TCGA-61-1914-01A	9.509083597	EMT_low
TCGA-10-0938-01A	9.444886264	EMT_low
TCGA-61-1738-01A	9.408096636	EMT_low
TCGA-29-1696-01A	9.389230102	EMT_low
TCGA-29-2428-01A	9.277171025	EMT_low
TCGA-61-1725-01A	9.217145785	EMT_low
TCGA-09-1659-01B	9.207697324	EMT_low
TCGA-24-2281-01A	9.1850663	EMT_low
TCGA-24-1843-01A	9.183060903	EMT_low
TCGA-09-2056-01B	9.142623889	EMT_low
TCGA-31-1950-01A	9.109187392	EMT_low
TCGA-13-0724-01A	9.074381498	EMT_low
TCGA-24-1104-01A	9.072931036	EMT_low
TCGA-61-2110-01A	9.021115269	EMT_low
TCGA-23-1113-01A	9.003294156	EMT_low
TCGA-57-1586-01A	8.962766828	EMT_low
TCGA-13-0920-01A	8.873815859	EMT_low
TCGA-59-A5PD-01A	8.77035533	EMT_low
TCGA-13-0720-01A	8.741678315	EMT_low
TCGA-13-1407-01A	8.721780023	EMT_low
TCGA-57-1582-01A	8.704500275	EMT_low
TCGA-20-1686-01A	8.699679659	EMT_low
TCGA-04-1519-01A	8.696943734	EMT_low
TCGA-61-1911-01A	8.666808225	EMT_low
TCGA-29-2414-02A	8.650466418	EMT_low
TCGA-13-0923-01A	8.6313324	EMT_low
TCGA-23-1028-01A	8.62234159	EMT_low
TCGA-23-1024-01A	8.600741778	EMT_low
TCGA-04-1357-01A	8.553221514	EMT_low
TCGA-57-1583-01A	8.51905615	EMT_low
TCGA-OY-A56Q-01A	8.503028109	EMT_low
TCGA-24-1428-01A	8.423126237	EMT_low
TCGA-09-1661-01B	8.39988458	EMT_low
TCGA-24-1426-01A	8.398481657	EMT_low
TCGA-29-1785-01A	8.396850595	EMT_low
TCGA-29-2427-01A	8.359221765	EMT_low
TCGA-23-1110-01A	8.341430085	EMT_low
TCGA-13-1477-01A	8.332269274	EMT_low
TCGA-10-0931-01A	8.290902498	EMT_low
TCGA-13-1489-01A	8.266576101	EMT_low
TCGA-29-1781-01A	8.21807201	EMT_low
TCGA-13-0726-01A	8.168633847	EMT_low
TCGA-25-1634-01A	8.137431591	EMT_low
TCGA-13-0714-01A	8.04550436	EMT_low
TCGA-23-1107-01A	8.028333927	EMT_low
TCGA-13-0884-01B	7.921920366	EMT_low
TCGA-13-1409-01A	7.897696609	EMT_low
TCGA-29-1707-02A	7.855027907	EMT_low
TCGA-61-1910-01A	7.848419682	EMT_low
TCGA-04-1341-01A	7.840235089	EMT_low
TCGA-13-0797-01A	7.791704277	EMT_low
TCGA-09-1665-01B	7.770347714	EMT_low
TCGA-10-0936-01A	7.741853301	EMT_low
TCGA-13-0795-01A	7.738071815	EMT_low
TCGA-04-1542-01A	7.707312394	EMT_low
TCGA-24-1565-01A	7.698455128	EMT_low
TCGA-20-0987-01A	7.678426035	EMT_low
TCGA-09-2048-01A	7.629177603	EMT_low
TCGA-24-1464-01A	7.571080422	EMT_low
TCGA-13-0804-01A	7.508912074	EMT_low
TCGA-30-1853-01A	7.50085109	EMT_low
TCGA-29-1761-01A	7.412347103	EMT_low
TCGA-61-1907-01A	7.404286832	EMT_low
TCGA-29-1784-01A	7.40207939	EMT_low
TCGA-61-2092-01A	7.336271128	EMT_low
TCGA-13-0762-01A	7.194506944	EMT_low
TCGA-13-1496-01A	7.191850014	EMT_low
TCGA-04-1350-01A	7.162625261	EMT_low
TCGA-10-0937-01A	7.153732143	EMT_low
TCGA-20-0991-01A	7.063182508	EMT_low
TCGA-30-1866-01A	6.906306047	EMT_low
TCGA-30-1714-01A	6.892282655	EMT_low
TCGA-04-1536-01A	6.790133007	EMT_low
TCGA-24-1471-01A	6.789447652	EMT_low
TCGA-04-1347-01A	6.743552431	EMT_low
TCGA-13-0765-01A	6.583643127	EMT_low
TCGA-24-1431-01A	6.541442011	EMT_low
TCGA-23-1022-01A	6.384777591	EMT_low
TCGA-13-0885-01A	6.202675523	EMT_low
TCGA-23-1021-01B	6.190455829	EMT_low
TCGA-13-0891-01A	6.174580377	EMT_low
TCGA-09-0367-01A	5.94616911	EMT_low
TCGA-24-1845-01A	5.766354238	EMT_low
TCGA-24-0966-01A	5.636797226	EMT_low
TCGA-13-0913-02A	5.500801607	EMT_low
